driver,team,fp1_best_lap,fp2_best_lap,fp3_best_lap,avg_best_lap,fp1_long_run,fp2_long_run,fp3_long_run,avg_long_run,fp1_deg,fp2_deg,fp3_deg,avg_deg,fp2_minus_fp1,fp3_minus_fp2,fp3_minus_fp1,fp1_gap,fp2_gap,fp3_gap,target_quali_time,year,Driver,driver_track_rating,Team,team_quali_strength,team_race_strength,team_combined_strength
PIA,McLaren,75.192,73.673,73.998,74.28766666666667,75.508,74.915,75.211,75.21133333333334,0.639,0.469,2.095,1.0676666666666668,-1.5189999999999912,0.32500000000000284,-1.1939999999999884,1.8199997,1.2109985,1.2220001,72.395,2023,PIA,70.35,McLaren,90.0,60.0,78.0
RUS,Mercedes,75.066,73.191,73.59,73.949,77.047,74.28,78.378,76.56833333333333,0.614,0.605,-11.238,-3.3396666666666666,-1.875,0.3990000000000009,-1.475999999999999,1.6940002,0.7290039,0.81399536,71.964,2023,RUS,52.19,Mercedes,100.0,100.0,100.0
SAI,Ferrari,73.372,72.569,73.261,73.06733333333334,75.802,74.191,73.825,74.606,0.15,-4.135,8.642,1.5523333333333333,-0.8029999999999973,0.6919999999999931,-0.1110000000000042,0.0,0.10700226,0.4850006,71.63,2023,SAI,51.01,Ferrari,80.0,70.0,76.0
SAR,Williams,76.311,74.238,73.851,74.8,76.654,75.125,75.372,75.717,-0.738,0.208,11.09,3.52,-2.0730000000000075,-0.38700000000000045,-2.460000000000008,2.9389954,1.776001,1.074997,73.113,2023,,51.33466666666667,Williams,20.0,0.0,12.0
STR,Aston Martin,74.653,73.185,72.942,73.59333333333335,78.075,74.398,74.799,75.75733333333334,0.544,2.004,0.781,1.1096666666666668,-1.4680000000000035,-0.2430000000000092,-1.7110000000000127,1.2809982,0.7229996,0.16600037,72.623,2023,STR,28.79,Aston Martin,10.0,10.0,10.0
TSU,AlphaTauri,74.964,73.822,73.738,74.17466666666667,79.117,78.152,78.354,78.541,0.122,0.733,6.989,2.6146666666666665,-1.141999999999996,-0.08400000000000318,-1.225999999999999,1.5919952,1.3600006,0.961998,72.082,2023,TSU,30.15,,58.0,55.07692307692308,56.83076923076923
VER,Red Bull Racing,74.244,72.462,72.776,73.16066666666667,75.706,73.801,80.397,76.63466666666666,4.565,-0.235,-10.867,-2.1790000000000003,-1.7819999999999965,0.31399999999999295,-1.4680000000000035,0.87200165,0.0,0.0,71.365,2023,VER,79.84,Red Bull Racing,70.0,90.0,78.0
ZHO,Alfa Romeo,75.684,73.354,73.772,74.27,76.782,74.411,75.097,75.42999999999999,0.806,0.411,-1.043,0.05800000000000005,-2.3299999999999983,0.41800000000000637,-1.911999999999992,2.3119965,0.8919983,0.9960022,73.523,2023,,51.33466666666667,,58.0,55.07692307692308,56.83076923076923
ALB,Williams,73.425,72.257,72.18,72.62066666666668,73.884,73.232,73.007,73.37433333333333,1.236,1.872,24.022,9.043333333333333,-1.1679999999999922,-0.07699999999999818,-1.2449999999999903,1.227005,0.9790039,0.810997,70.948,2024,ALB,49.58,Williams,20.0,0.0,12.0
ALO,Aston Martin,72.775,71.753,72.087,72.205,74.757,73.411,79.915,76.02766666666668,-2.748,2.281,0.646,0.059666666666666646,-1.0220000000000056,0.3340000000000032,-0.6880000000000024,0.5770035,0.47499847,0.7179947,72.087,2024,ALO,30.26,Aston Martin,10.0,10.0,10.0
GAS,Alpine,75.574,72.75,72.144,73.48933333333333,77.347,73.661,79.155,76.72099999999999,28.885,0.174,-0.014,9.681666666666667,-2.823999999999998,-0.6059999999999945,-3.4299999999999926,3.3759995,1.4720001,0.7749939,70.896,2024,GAS,19.91,Alpine,60.0,40.0,52.0
HAM,Mercedes,72.398,71.466,71.71,71.85799999999999,74.389,73.913,74.491,74.26433333333334,3.218,0.459,20.072,7.916333333333333,-0.9320000000000022,0.24399999999999977,-0.6880000000000024,0.20000458,0.18800354,0.3409958,70.621,2024,HAM,61.42,Mercedes,100.0,100.0,100.0
HUL,Haas F1 Team,73.576,72.569,72.192,72.779,74.336,73.748,82.009,76.69766666666668,0.527,14.105,0.389,5.007,-1.0069999999999908,-0.37700000000000955,-1.3840000000000003,1.3779984,1.2910004,0.82299805,71.44,2024,HUL,21.75,Haas F1 Team,40.0,80.0,56.0
LEC,Ferrari,72.397,71.278,71.369,71.68133333333334,73.348,72.068,72.044,72.48666666666666,0.827,4.417,25.334,10.192666666666666,-1.1189999999999998,0.09099999999999397,-1.0280000000000058,0.19900513,0.0,0.0,70.27,2024,LEC,91.92,Ferrari,80.0,70.0,76.0
MAG,Haas F1 Team,73.39,72.473,72.216,72.693,74.146,73.576,73.689,73.80366666666666,1.021,2.022,0.939,1.3273333333333333,-0.9170000000000016,-0.257000000000005,-1.1740000000000066,1.1920013,1.1949997,0.8470001,71.725,2024,,51.33466666666667,Haas F1 Team,40.0,80.0,56.0
NOR,McLaren,73.226,71.953,71.988,72.389,73.877,73.653,75.445,74.325,2.5,14.603,0.209,5.770666666666667,-1.2729999999999961,0.03499999999999659,-1.2379999999999995,1.0279999,0.67500305,0.61899567,70.542,2024,NOR,92.12,McLaren,90.0,60.0,78.0
OCO,Alpine,74.501,72.554,72.472,73.17566666666666,74.99,72.661,77.51,75.05366666666667,2.063,1.575,20.082,7.906666666666666,-1.9470000000000027,-0.08200000000000784,-2.0290000000000106,2.3030014,1.276001,1.1029968,71.285,2024,OCO,62.47,Alpine,60.0,40.0,52.0
PER,Red Bull Racing,73.229,72.099,71.923,72.417,75.593,73.457,73.346,74.132,-0.069,-2.779,27.556,8.236,-1.1299999999999955,-0.17600000000000193,-1.3059999999999974,1.0309982,0.82099915,0.5539932,72.06,2024,,51.33466666666667,Red Bull Racing,70.0,90.0,78.0
PIA,McLaren,72.198,72.366,71.901,72.15499999999999,74.359,73.759,71.826,73.31466666666667,2.756,-10.032,-2.475,-3.2503333333333333,0.16800000000000637,-0.4650000000000034,-0.29699999999999704,0.0,1.0879974,0.5319977,70.424,2024,PIA,70.35,McLaren,90.0,60.0,78.0
RIC,RB,72.901,72.577,72.829,72.769,73.672,73.492,77.027,74.73033333333332,-0.301,0.197,2.491,0.7956666666666666,-0.32399999999999807,0.25199999999999534,-0.07200000000000273,0.7030029,1.2990036,1.4599991,71.482,2024,,51.33466666666667,,58.0,55.07692307692308,56.83076923076923
RUS,Mercedes,72.295,72.26,71.968,72.17433333333334,74.85,75.091,74.931,74.95733333333332,2.873,0.22,-0.39,0.9010000000000001,-0.03499999999999659,-0.2920000000000016,-0.3269999999999982,0.09700012,0.98200226,0.598999,70.543,2024,RUS,52.19,Mercedes,100.0,100.0,100.0
SAI,Ferrari,73.187,71.962,71.979,72.37599999999999,74.175,72.598,72.098,72.957,-3.399,4.699,-4.605,-1.1016666666666668,-1.2249999999999943,0.016999999999995907,-1.2079999999999984,0.9889984,0.6839981,0.609993,70.518,2024,SAI,51.01,Ferrari,80.0,70.0,76.0
SAR,Williams,74.824,72.79,72.703,73.43900000000001,75.037,73.874,76.397,75.10266666666666,4.323,-0.295,12.784,5.604,-2.033999999999992,-0.0870000000000033,-2.120999999999995,2.6259995,1.512001,1.3339996,72.02,2024,,51.33466666666667,Williams,20.0,0.0,12.0
STR,Aston Martin,73.197,72.062,72.331,72.53000000000002,75.182,75.932,75.473,75.529,13.351,1.433,-0.303,4.827,-1.1350000000000051,0.26900000000000546,-0.8659999999999997,0.99900055,0.7839966,0.961998,71.563,2024,STR,28.79,Aston Martin,10.0,10.0,10.0
TSU,RB,72.875,72.349,71.991,72.40499999999999,73.791,73.239,80.938,75.98933333333333,3.085,0.176,0.687,1.316,-0.5259999999999962,-0.3580000000000041,-0.8840000000000003,0.67700195,1.0709991,0.621994,70.858,2024,TSU,30.15,,58.0,55.07692307692308,56.83076923076923
VER,Red Bull Racing,72.984,71.813,71.566,72.121,76.666,73.543,72.897,74.36866666666667,3.325,1.193,1.384,1.9673333333333336,-1.1709999999999923,-0.2469999999999999,-1.4179999999999922,0.7860031,0.53500366,0.1969986,70.567,2024,VER,79.84,Red Bull Racing,70.0,90.0,78.0
ZHO,Kick Sauber,74.57,73.773,73.83,74.05766666666666,76.111,74.155,75.411,75.22566666666667,3.657,-1.659,0.902,0.9666666666666667,-0.796999999999997,0.05700000000000216,-0.7399999999999949,2.3720016,2.4950027,2.4609985,73.028,2024,,51.33466666666667,,58.0,55.07692307692308,56.83076923076923
ALB,Williams,72.314,71.918,71.668,71.96666666666667,73.291,73.461,77.56,74.77066666666667,0.42,-0.089,1.031,0.45399999999999996,-0.3959999999999866,-0.25,-0.6459999999999866,0.3500061,0.5629959,0.71499634,70.732,2025,ALB,49.58,Williams,20.0,0.0,12.0
ALO,Aston Martin,73.015,71.89,72.101,72.33533333333334,74.85,74.103,75.096,74.68299999999999,-2.916,4.567,0.385,0.6786666666666669,-1.125,0.21099999999999852,-0.9140000000000015,1.0510025,0.53499603,1.147995,70.924,2025,ALO,30.26,Aston Martin,10.0,10.0,10.0
ANT,Mercedes,72.765,72.002,72.013,72.26,72.968,73.837,72.252,73.019,7.743,2.054,-0.678,3.0396666666666667,-0.7630000000000052,0.01100000000000989,-0.7519999999999953,0.8010025,0.64699554,1.0599976,71.88,2025,ANT,17.55,Mercedes,100.0,100.0,100.0
BEA,Haas F1 Team,73.329,72.259,72.251,72.613,73.526,73.252,75.337,74.03833333333334,-0.004,4.454,32.396,12.282000000000002,-1.0699999999999932,-0.007999999999995566,-1.0779999999999887,1.3650055,0.9039993,1.2979965,71.979,2025,BEA,21.15,Haas F1 Team,40.0,80.0,56.0
BOR,Kick Sauber,73.47,72.234,72.601,72.76833333333333,74.746,73.666,75.747,74.71966666666667,-0.513,0.968,0.5,0.3183333333333333,-1.2360000000000042,0.36700000000000443,-0.8689999999999998,1.5060043,0.8789978,1.647995,71.902,2025,BOR,30.7,,58.0,55.07692307692308,56.83076923076923
COL,Alpine,73.82,73.415,72.851,73.36200000000001,74.66,73.945,74.313,74.306,-1.955,-1.213,0.149,-1.0063333333333333,-0.4049999999999869,-0.5640000000000072,-0.9689999999999941,1.8560028,2.0599976,1.897995,72.597,2025,COL,23.05,Alpine,60.0,40.0,52.0
GAS,Alpine,72.669,72.404,72.194,72.42233333333333,73.849,72.907,86.296,77.68400000000001,1.676,5.217,-0.158,2.2449999999999997,-0.26500000000000057,-0.20999999999999375,-0.4749999999999943,0.70500183,1.048996,1.2409973,71.994,2025,GAS,19.91,Alpine,60.0,40.0,52.0
HAD,Racing Bulls,73.187,71.842,72.271,72.43333333333334,73.426,72.327,72.909,72.88733333333333,1.523,-0.268,0.302,0.519,-1.3449999999999989,0.42900000000000205,-0.9159999999999968,1.2229996,0.4869995,1.3180008,70.923,2025,HAD,67.51,Racing Bulls,50.0,20.0,38.0
HAM,Ferrari,72.69,71.46,71.516,71.88866666666667,74.326,72.818,79.737,75.627,4.507,-3.548,0.295,0.41799999999999987,-1.230000000000004,0.056000000000011596,-1.1739999999999924,0.72600555,0.10499573,0.5629959,70.382,2025,HAM,61.42,Ferrari,80.0,70.0,76.0
HUL,Kick Sauber,72.979,72.262,72.125,72.45533333333333,74.027,73.579,75.877,74.49433333333333,10.9,13.753,0.358,8.337,-0.7169999999999987,-0.13700000000000045,-0.8539999999999992,1.0149994,0.9069977,1.1719971,71.596,2025,HUL,21.75,,58.0,55.07692307692308,56.83076923076923
LAW,Racing Bulls,73.429,71.823,71.814,72.35533333333333,73.56,73.316,72.716,73.19733333333333,-1.293,4.053,0.131,0.9636666666666667,-1.6060000000000088,-0.009000000000000341,-1.615000000000009,1.465004,0.4679947,0.86100006,71.129,2025,LAW,45.18,Racing Bulls,50.0,20.0,38.0
LEC,Ferrari,71.964,71.355,70.953,71.424,72.912,72.028,71.027,71.98899999999999,-4.302,-1.86,0.776,-1.7953333333333334,-0.6089999999999947,-0.402000000000001,-1.0109999999999957,0.0,0.0,0.0,70.063,2025,LEC,91.92,Ferrari,80.0,70.0,76.0
NOR,McLaren,72.29,71.677,71.247,71.738,72.715,72.494,71.494,72.23433333333334,-5.632,14.395,7.503,5.422,-0.6129999999999995,-0.4300000000000068,-1.0430000000000064,0.32600403,0.3219986,0.29399872,69.954,2025,NOR,92.12,McLaren,90.0,60.0,78.0
OCO,Haas F1 Team,73.394,72.541,72.499,72.81133333333334,74.162,73.812,73.188,73.72066666666666,-4.639,3.576,0.322,-0.24700000000000003,-0.8530000000000086,-0.04200000000000159,-0.8950000000000102,1.4300003,1.185997,1.5459976,70.942,2025,OCO,62.47,Haas F1 Team,40.0,80.0,56.0
PIA,McLaren,72.342,71.393,71.398,71.711,74.13,72.066,71.794,72.66333333333334,6.654,16.563,-1.352,7.288333333333333,-0.9489999999999981,0.0049999999999954525,-0.9440000000000026,0.37800598,0.037994385,0.4449997,70.129,2025,PIA,70.35,McLaren,90.0,60.0,78.0
RUS,Mercedes,72.482,72.092,72.066,72.21333333333334,75.111,72.957,73.838,73.96866666666666,1.278,3.299,0.205,1.594,-0.39000000000000057,-0.02599999999999625,-0.4159999999999968,0.5180054,0.7369995,1.112999,71.758,2025,RUS,52.19,Mercedes,100.0,100.0,100.0
SAI,Williams,72.534,72.151,71.893,72.19266666666667,73.027,73.691,73.578,73.432,-1.105,5.689,0.133,1.5723333333333331,-0.3830000000000098,-0.25799999999999557,-0.6410000000000053,0.5699997,0.7959976,0.9399948,71.362,2025,SAI,51.01,Williams,20.0,0.0,12.0
STR,Aston Martin,75.635,72.512,72.202,73.44966666666666,77.362,73.438,72.133,74.31099999999999,-3.694,4.782,-0.458,0.21000000000000005,-3.1230000000000047,-0.3100000000000023,-3.433000000000007,3.6710052,1.1569977,1.2490005,72.563,2025,STR,28.79,Aston Martin,10.0,10.0,10.0
TSU,Red Bull Racing,73.232,72.072,71.952,72.41866666666667,74.709,73.649,73.774,74.044,0.425,-2.92,-0.918,-1.1376666666666668,-1.1599999999999966,-0.12000000000000455,-1.2800000000000011,1.2680054,0.71699524,0.99900055,71.415,2025,TSU,30.15,Red Bull Racing,70.0,90.0,78.0
VER,Red Bull Racing,72.127,72.068,71.233,71.80933333333333,74.652,73.818,74.08,74.18333333333334,1.11,-2.547,-5.25,-2.229,-0.0589999999999975,-0.8349999999999937,-0.8939999999999912,0.16300201,0.71299744,0.27999878,70.669,2025,VER,79.84,Red Bull Racing,70.0,90.0,78.0
